P5940:R0=0    
P5940:R265=16.2788    P5940:R266=16.3095    P5940:R267=16.3401    P5940:R268=16.3707    
P5940:R269=16.4012    P5940:R270=16.4317    P5940:R271=16.4621    P5940:R272=16.4924    
P5940:R273=16.5227    P5940:R274=16.5529    P5940:R275=16.5831    P5940:R276=16.6132    
P5940:R277=16.6433    P5940:R278=16.6733    P5940:R279=16.7033    P5940:R280=16.7332    
P5940:R281=16.7631    P5940:R282=16.7929    P5940:R283=16.8226    P5940:R284=16.8523    
P5940:R285=16.8819    P5940:R286=16.9115    P5940:R287=16.9411    P5940:R288=16.9706    
P5940:R289=17    P5940:R290=17.0294    P5940:R291=17.0587    P5940:R292=17.088    
P5940:R293=17.1172    P5940:R294=17.1464    P5940:R295=17.1756    P5940:R296=17.2047    
P5940:R297=17.2337    P5940:R298=17.2627    P5940:R299=17.2916    P5940:R300=17.3205    
P5940:R301=17.3494    P5940:R302=17.3781    P5940:R303=17.4069    P5940:R304=17.4356    
P5940:R305=17.4642    P5940:R306=17.4929    P5940:R307=17.5214    P5940:R308=17.5499    
P5940:R309=17.5784    P5940:R310=17.6068    P5940:R311=17.6352    P5940:R312=17.6635    
P5940:R313=17.6918    P5940:R314=17.72    P5940:R315=17.7482    P5940:R316=17.7764    
P5940:R317=17.8045    P5940:R318=17.8326    P5940:R319=17.8606    P5940:R320=17.8885    
P5940:R321=17.9165    P5940:R322=17.9444    P5940:R323=17.9722    P5940:R324=18    
P5940:R325=18.0278    P5940:R326=18.0555    P5940:R327=18.0831    P5940:R328=18.1108    
P5940:R329=18.1384    P5940:R330=18.1659    P5940:R331=18.1934    P5940:R332=18.2209    
P5940:R333=18.2483    P5940:R334=18.2757    P5940:R335=18.303    P5940:R336=18.3303    
P5940:R337=18.3576    P5940:R338=18.3848    P5940:R339=18.412    P5940:R340=18.4391    
P5940:R341=18.4662    P5940:R342=18.4932    P5940:R343=18.5203    P5940:R344=18.5472    
P5940:R345=18.5742    P5940:R346=18.6011    P5940:R347=18.6279    P5940:R348=18.6548    
P5940:R349=18.6815    P5940:R350=18.7083    P5940:R351=18.735    P5940:R352=18.7617    
P5940:R353=18.7883    P5940:R354=18.8149    P5940:R355=18.8414    P5940:R356=18.868    
P5940:R357=18.8944    P5940:R358=18.9209    P5940:R359=18.9473    P5940:R360=18.9737    
P5940:R361=19    P5940:R362=19.0263    P5940:R363=19.0526    P5940:R364=19.0788    
P5940:R365=19.105    P5940:R366=19.1311    P5940:R367=19.1572    P5940:R368=19.1833    
P5940:R369=19.2094    P5940:R370=19.2354    P5940:R371=19.2614    P5940:R372=19.2873    
P5940:R373=19.3132    P5940:R374=19.3391    P5940:R375=19.3649    P5940:R376=19.3907    
P5940:R377=19.4165    P5940:R378=19.4422    P5940:R379=19.4679    P5940:R380=19.4936    
P5940:R381=19.5192    P5940:R382=19.5448    P5940:R383=19.5704    P5940:R384=19.5959    
P5940:R385=19.6214    P5940:R386=19.6469    P5940:R387=19.6723    P5940:R388=19.6977    
P5940:R389=19.7231    P5940:R390=19.7484    P5940:R391=19.7737    P5940:R392=19.799    
P5940:R393=19.8242    P5940:R394=19.8494    P5940:R395=19.8746    P5940:R396=19.8997    
P5940:R397=19.9249    P5940:R398=19.9499    P5940:R399=19.975    P5940:R400=20    
P5940:R401=20.025    P5940:R402=20.0499    P5940:R403=20.0749    P5940:R404=20.0998    
P5940:R405=20.1246    P5940:R406=20.1494    P5940:R407=20.1742    P5940:R408=20.199    
P5940:R409=20.2237    P5940:R410=20.2485    P5940:R411=20.2731    P5940:R412=20.2978    
P5940:R413=20.3224    P5940:R414=20.347    P5940:R415=20.3715    P5940:R416=20.3961    
P5940:R417=20.4206    P5940:R418=20.445    P5940:R419=20.4695    P5940:R420=20.4939    
P5940:R421=20.5183    P5940:R422=20.5426    P5940:R423=20.567    P5940:R424=20.5913    
P5940:R425=20.6155    P5940:R426=20.6398    P5940:R427=20.664    P5940:R428=20.6882    
P5940:R429=20.7123    P5940:R430=20.7364    P5940:R431=20.7605    P5940:R432=20.7846    
P5940:R433=20.8087    P5940:R434=20.8327    P5940:R435=20.8567    P5940:R436=20.8806    
P5940:R437=20.9045    P5940:R438=20.9284    P5940:R439=20.9523    P5940:R440=20.9762    
P5940:R441=21    P5940:R442=21.0238    P5940:R443=21.0476    P5940:R444=21.0713    
P5940:R445=21.095    P5940:R446=21.1187    P5940:R447=21.1424    P5940:R448=21.166    
P5940:R449=21.1896    P5940:R450=21.2132    P5940:R451=21.2368    P5940:R452=21.2603    
P5940:R453=21.2838    P5940:R454=21.3073    P5940:R455=21.3307    P5940:R456=21.3542    
P5940:R457=21.3776    P5940:R458=21.4009    P5940:R459=21.4243    P5940:R460=21.4476    
P5940:R461=21.4709    P5940:R462=21.4942    P5940:R463=21.5174    P5940:R464=21.5407    
P5940:R465=21.5639    P5940:R466=21.587    P5940:R467=21.6102    P5940:R468=21.6333    
P5940:R469=21.6564    P5940:R470=21.6795    P5940:R471=21.7025    P5940:R472=21.7256    
P5940:R473=21.7486    P5940:R474=21.7715    P5940:R475=21.7945    P5940:R476=21.8174    
P5940:R477=21.8403    P5940:R478=21.8632    P5940:R479=21.8861    P5940:R480=21.9089    
P5940:R481=21.9317    P5940:R482=21.9545    P5940:R483=21.9773    P5940:R484=22    
P5940:R485=22.0227    P5940:R486=22.0454    P5940:R487=22.0681    P5940:R488=22.0907    
P5940:R489=22.1133    P5940:R490=22.1359    P5940:R491=22.1585    P5940:R492=22.1811    
P5940:R493=22.2036    P5940:R494=22.2261    P5940:R495=22.2486    P5940:R496=22.2711    
P5940:R497=22.2935    P5940:R498=22.3159    P5940:R499=22.3383    P5940:R500=22.3607    
P5940:R501=22.383    P5940:R502=22.4054    P5940:R503=22.4277    P5940:R504=22.4499    
P5940:R505=22.4722    P5940:R506=22.4944    P5940:R507=22.5167    P5940:R508=22.5389    
P5940:R509=22.561    P5940:R510=22.5832    P5940:R511=22.6053    P5940:R512=22.6274    
P5940:R513=22.6495    P5940:R514=22.6716    P5940:R515=22.6936    P5940:R516=22.7156    
